id,lat,lon
1,53.71120346,9.99938303
2,54.30303490,9.67215040
3,54.31594000,9.67028000
5,54.29767080,9.66921070
6,54.31352540,9.71767350
7,53.52103400,10.24290980
8,53.54062070,10.21132910
9,53.54128950,10.16256810
10,53.51017000,10.25041000
11,55.01917064,8.43885490
12,54.81464303,8.28963094
13,54.75534602,8.29322008
14,54.91437988,8.31217917
15,54.90752829,8.31109221
16,52.42536900,13.58619500
17,52.50715400,13.27533500
18,52.54400100,13.54400800
19,52.53099500,13.44161100
20,52.50768700,13.32840200
21,52.51307400,13.32180300
22,52.42142900,13.35840600
23,52.51010600,13.37804600
24,52.50456500,13.34057300
25,52.51117300,13.38956300
26,52.51470900,13.47661400
27,52.51118400,13.42918500
28,52.49483900,13.45255600
29,52.55014800,13.43356800
30,52.46682200,13.33055300
31,52.56100500,13.21303300
32,52.53147000,13.40938000
33,52.43105900,13.53421390
34,52.46800300,13.32841900
35,52.53302210,13.38448770
36,52.46478600,13.36718200
37,52.37049170,13.52718060
38,52.41600600,13.12955600
39,52.53484800,13.20187300
40,52.53795000,13.41283000
41,52.53538200,13.49681100
42,52.41094000,13.26241200
43,52.43730500,13.26185900
44,52.41337500,13.49272900
45,52.53844000,13.41355800
46,52.46398500,13.36985700
47,52.46049100,13.32457200
48,52.54529000,13.42681000
49,52.45708400,13.52796400
50,52.46044000,13.32348200
51,52.47260000,13.33516700
52,52.53465800,13.51059300
53,52.54746200,13.46835800
54,52.48598700,13.45814200
55,52.50230400,13.32507000
56,52.50277800,13.33859800
57,52.46898600,13.32866900
58,52.52346100,13.41322300
59,52.57257100,13.36627900
60,52.52106800,13.32119600
61,52.54989100,13.38975300
62,52.43509500,13.43496500
63,52.47030500,13.37217600
64,53.53940000,9.99140000
65,53.54786000,9.99560000
66,53.52632000,10.06871000
67,53.54047530,9.99713840
380,52.27222720,9.12671210
381,52.71010910,8.50648160
382,52.61227200,8.37462300
383,52.60746850,8.37262150
384,52.54999504,8.58138779
389,52.26508900,8.06212600
390,52.29876900,8.06053700
391,52.27364300,8.04535900
392,52.26419200,8.03665800
393,52.27093200,8.04165000
394,52.26491900,8.00863500
395,52.28803800,8.01863900
396,52.24725100,8.06476200
397,52.26597400,8.05459900
398,52.27266800,8.04474200
399,52.27760400,8.05441600
400,52.27760400,8.05441600
401,52.28094500,8.08299400
402,52.28636000,8.03228000
403,52.27830900,8.03717400
404,52.27760400,8.05441600
405,51.91022840,10.42458360
406,51.73157000,10.61305000
407,51.80265000,10.53740000
408,51.89092000,10.17308000
409,51.65542000,10.34232000
410,51.72442470,10.24817230
411,51.72899810,10.25273980
412,51.73710200,10.23236630
413,51.68531600,10.10113700
415,53.35387000,10.20850870
416,53.35387000,10.20850870
417,53.35387000,10.20850870
418,53.35387000,10.20850870
419,53.35387000,10.20850870
420,53.07776710,8.80632240
421,53.07847830,8.80937170
422,53.52304000,8.58470000
423,53.53922710,8.58181810
424,53.09178160,8.86310010
425,53.07920530,8.80304830
426,53.07662260,8.84446430
427,53.57515280,8.59132400
428,53.54580480,8.57665660
429,53.08067590,8.79970270
430,53.04983910,8.95772890
431,53.07081000,8.85840000
432,53.08314766,8.81217117
433,53.07901320,8.79801510
434,53.07817000,8.81845000
435,53.08200000,8.80759000
436,53.06989870,8.80016720
437,53.07077300,8.83126510
438,53.19125100,8.55744100
439,53.18629650,8.61750080
440,53.56004360,8.56520790
441,53.54296150,8.59061610
442,53.08229760,8.78787290
443,52.06952301,6.98448668
444,52.07489003,7.00412486
446,50.83686000,6.90432000
447,50.82669830,6.89992180
449,51.09315300,6.81996500
450,51.09952000,6.81772000
452,51.22788680,6.78519287
453,51.28090000,6.77010000
454,51.21600630,6.81205854
455,51.26510320,6.73433818
456,51.24945660,6.77991300
457,51.17636000,6.86754000
458,51.25000000,6.76850000
459,51.23844400,6.73412361
460,51.20868760,6.75709405
461,51.16428320,6.85268833
462,51.28142690,6.77519359
463,51.21750000,6.76690000
464,51.27459630,6.74384520
465,51.22200000,6.81200000
466,51.15280000,6.88750000
468,51.17241100,6.84147634
469,51.22600000,6.77800000
470,51.23837930,6.79542263
471,51.22373300,6.79410700
474,51.25781960,6.75491350
475,51.16404600,6.85166151
476,51.21806480,6.78230145
477,51.22510000,6.78150000
478,51.17540770,6.83776953
479,51.24108260,6.80259018
480,51.22280000,6.77388000
481,51.24209630,6.73956849
482,51.27312800,6.81082500
483,51.25041880,6.77316497
485,51.21562690,6.76207737
486,51.22049230,6.78164099
487,51.20446310,6.78632801
488,51.19515880,6.76906072
489,51.21737830,6.79499350
491,51.24718060,6.77691780
492,51.20703750,6.80874757
493,51.24215770,6.79508485
495,51.26122430,6.73532114
496,51.22258880,6.81847372
497,51.17490150,6.84504904
498,51.83194500,6.23824300
499,51.19380370,6.81299390
500,51.19490000,6.82280000
501,51.17585160,6.85089626
503,51.83193900,6.24682600
504,51.23499690,6.73311207
505,51.24547900,6.76943000
507,51.21847920,6.76299002
508,51.25130000,6.77450000
509,51.27673830,6.76893260
510,51.25207700,6.76846000
511,51.16990050,6.87678702
513,51.21647040,6.75248215
514,51.40744310,6.77855910
515,51.43528680,6.76137090
516,51.43482000,6.76983120
518,51.35682000,6.74529000
519,51.43975000,6.76775720
520,52.17358510,7.52742150
521,52.17618440,7.53145700
522,51.27236400,7.20703100
523,51.31140600,7.24953100
524,51.22981200,7.06558200
525,51.26109400,7.16285200
526,51.24041100,7.10587000
527,51.22671500,7.19810000
528,51.27919300,7.18752600
529,51.27366000,7.20664000
530,51.25805440,7.14083340
531,51.25348240,7.14163120
532,51.27740660,7.18764580
533,51.25348240,7.14163120
534,51.25513690,7.14549800
535,52.10383330,7.61144400
536,52.09279170,7.60887490
537,51.92000010,8.39752760
538,51.89355160,8.36365550
539,51.90915140,8.38431350
542,51.02457310,7.56555180
543,50.96354920,7.50288580
544,51.01380000,7.56490000
545,50.94738000,7.54971000
546,50.98257820,7.53002410
547,50.86398310,7.72452460
548,50.93181470,7.28317860
549,50.94733810,7.21700190
550,51.35855640,7.47457940
551,51.40456200,7.43274320
552,51.23185830,7.85023330
553,51.12786570,7.60030910
554,51.36025940,7.47098980
555,51.34939800,7.52760400
556,51.10796000,7.63843000
558,52.10633740,8.68598870
