id,title,power,lat,lon,station_id,plug
78,Ladepunkt 78,22,,,44,CONNECTOR.AC.TYPE2.SOCKET
79,Ladepunkt 79,22,,,45,CONNECTOR.AC.TYPE2.SOCKET
80,Ladepunkt 80,22,,,45,CONNECTOR.AC.TYPE2.SOCKET
81,Ladepunkt 81,22,,,46,CONNECTOR.AC.TYPE2.SOCKET
82,Ladepunkt 82,22,,,46,CONNECTOR.AC.TYPE2.SOCKET
83,Ladepunkt 83,22,,,47,CONNECTOR.AC.TYPE2.SOCKET
84,Ladepunkt 84,22,,,47,CONNECTOR.AC.TYPE2.SOCKET
85,Ladepunkt 85,22,,,48,CONNECTOR.AC.TYPE2.SOCKET
86,Ladepunkt 86,22,,,48,CONNECTOR.AC.TYPE2.SOCKET
87,Ladepunkt 87,22,,,49,CONNECTOR.AC.TYPE2.SOCKET
88,Ladepunkt 88,22,,,49,CONNECTOR.DC.CCS.PLUG
89,Ladepunkt 89,22,,,50,CONNECTOR.AC.TYPE2.SOCKET
90,Ladepunkt 90,22,,,50,CONNECTOR.AC.TYPE2.SOCKET
91,Ladepunkt 91,22,,,51,CONNECTOR.AC.TYPE2.SOCKET
92,Ladepunkt 92,22,,,51,CONNECTOR.AC.TYPE2.SOCKET
93,Ladepunkt 93,22,,,52,CONNECTOR.AC.TYPE2.SOCKET
94,Ladepunkt 94,22,,,52,CONNECTOR.AC.TYPE2.SOCKET
95,Ladepunkt 95,22,,,53,CONNECTOR.AC.TYPE2.SOCKET
96,Ladepunkt 96,22,,,53,CONNECTOR.AC.TYPE2.SOCKET
97,Ladepunkt 97,22,,,54,CONNECTOR.AC.TYPE2.SOCKET
98,Ladepunkt 98,22,,,54,CONNECTOR.AC.TYPE2.SOCKET
99,Ladepunkt 99,22,,,55,CONNECTOR.AC.TYPE2.SOCKET
100,Ladepunkt 100,22,,,55,CONNECTOR.AC.TYPE2.SOCKET
101,Ladepunkt 101,22,,,56,CONNECTOR.AC.TYPE2.SOCKET
102,Ladepunkt 102,22,,,56,CONNECTOR.AC.TYPE2.SOCKET
103,Ladepunkt 103,22,,,57,CONNECTOR.AC.TYPE2.SOCKET
104,Ladepunkt 104,22,,,57,CONNECTOR.AC.TYPE2.SOCKET
105,Ladepunkt 105,22,,,58,CONNECTOR.AC.TYPE2.SOCKET
106,Ladepunkt 106,22,,,58,CONNECTOR.AC.TYPE2.SOCKET
13976,Emmentaler Str. 122-130,-,,,59,CONNECTOR.AC.TYPE2.SOCKET
107,Ladepunkt 107,22,,,60,CONNECTOR.AC.TYPE2.SOCKET
108,Ladepunkt 108,22,,,60,CONNECTOR.AC.TYPE2.SOCKET
109,Ladepunkt 109,22,,,61,CONNECTOR.AC.TYPE2.SOCKET
110,Ladepunkt 110,22,,,61,CONNECTOR.AC.TYPE2.SOCKET
111,Ladepunkt 111,22,,,62,CONNECTOR.AC.TYPE2.SOCKET
112,Ladepunkt 112,22,,,62,CONNECTOR.AC.TYPE2.SOCKET
13977,Schöneberger Str. 17,-,,,63,CONNECTOR.AC.TYPE2.SOCKET
13978,Große Reichenstr. 14,-,,,64,CONNECTOR.AC.TYPE2.SOCKET
13979,Strandkai 1,-,,,65,CONNECTOR.AC.TYPE2.SOCKET
13980,Andreas-Meyer-Str. 8,-,,,66,CONNECTOR.AC.TYPE2.SOCKET
13981,Rugenberger Damm 1,-,,,67,CONNECTOR.AC.TYPE2.SOCKET
678,Ladepunkt 678,50,,,380,CONNECTOR.AC.TYPE2.SOCKET
679,Ladepunkt 679,50,,,380,CONNECTOR.AC.TYPE2.SOCKET
22840,Neuer Ladepunkt*10,-,52.71029000,8.50646000,381,CONNECTOR.AC.TYPE2.SOCKET
22841,Neuer Ladepunkt*11,-,52.71029000,8.50646000,381,CONNECTOR.AC.TYPE2.SOCKET
22849,Neuer Ladepunkt*9,-,,,381,CONNECTOR.AC.SCHUKO.SOCKET
22842,AC Steckdose Typ 2,-,52.61203990,8.37480816,382,CONNECTOR.AC.TYPE2.SOCKET
22843,AC Kupplung Typ 2,-,,,382,CONNECTOR.AC.TYPE2.PLUG
22844,DC Kupplung Combo,-,,,382,CONNECTOR.DC.CCS.PLUG
22845,DC CHAdeMO,-,,,382,CONNECTOR.DC.CHADEMO.PLUG
22846,Neuer Ladepunkt*13,-,,,383,CONNECTOR.AC.TYPE2.SOCKET
22847,Neuer Ladepunkt*14,-,,,383,CONNECTOR.AC.TYPE2.SOCKET
22848,Neuer Ladepunkt*12,-,,,383,CONNECTOR.AC.SCHUKO.SOCKET
22850,Neuer Ladepunkt*17,-,,,384,CONNECTOR.AC.TYPE2.SOCKET
22851,Neuer Ladepunkt*16,-,,,384,CONNECTOR.AC.TYPE2.SOCKET
22852,Neuer Ladepunkt*15,-,,,384,CONNECTOR.AC.SCHUKO.SOCKET
695,Ladepunkt 695,22,,,389,
696,Ladepunkt 696,22,,,389,
697,Ladepunkt 697,22,,,390,
698,Ladepunkt 698,22,,,390,
699,Ladepunkt 699,22,,,391,CONNECTOR.AC.TYPE2.SOCKET
700,Ladepunkt 700,22,,,391,CONNECTOR.AC.TYPE2.SOCKET
701,Ladepunkt 701,22,,,391,CONNECTOR.AC.SCHUKO.SOCKET
702,Ladepunkt 702,22,,,391,CONNECTOR.AC.SCHUKO.SOCKET
703,Ladepunkt 703,22,,,392,
704,Ladepunkt 704,22,,,392,
705,Ladepunkt 705,22,,,393,
706,Ladepunkt 706,22,,,393,
707,Ladepunkt 707,50,,,394,CONNECTOR.DC.CCS.PLUG
708,Ladepunkt 708,22,,,395,
709,Ladepunkt 709,22,,,395,CONNECTOR.AC.SCHUKO.SOCKET
710,Ladepunkt 710,22,,,396,
711,Ladepunkt 711,22,,,396,
712,Ladepunkt 712,22,,,397,
713,Ladepunkt 713,22,,,397,
714,Ladepunkt 714,3,,,398,CONNECTOR.AC.SCHUKO.SOCKET
715,Ladepunkt 715,3,,,398,CONNECTOR.AC.SCHUKO.SOCKET
716,Ladepunkt 716,22,,,399,
717,Ladepunkt 717,22,,,399,
718,Ladepunkt 718,22,,,400,
719,Ladepunkt 719,22,,,400,
720,Ladepunkt 720,22,,,401,
721,Ladepunkt 721,22,,,401,
13987,An der Bornau 2,-,,,402,CONNECTOR.AC.TYPE2.SOCKET
722,Ladepunkt 722,22,,,403,
723,Ladepunkt 723,22,,,403,
724,Ladepunkt 724,22,,,403,
725,Ladepunkt 725,22,,,403,
726,Ladepunkt 726,22,,,403,
727,Ladepunkt 727,22,,,403,
728,Ladepunkt 728,22,,,404,
729,Ladepunkt 729,22,,,404,
730,Ladepunkt 730,11,,,405,CONNECTOR.AC.TYPE2.SOCKET
731,Ladepunkt 731,11,,,405,CONNECTOR.AC.SCHUKO.SOCKET
732,Ladepunkt 732,22,,,406,
733,Ladepunkt 733,22,,,406,CONNECTOR.AC.SCHUKO.SOCKET
734,Ladepunkt 734,22,,,407,CONNECTOR.AC.TYPE2.SOCKET
735,Ladepunkt 735,22,,,407,CONNECTOR.AC.SCHUKO.SOCKET
736,Ladepunkt 736,11,,,408,CONNECTOR.AC.TYPE2.SOCKET
737,Ladepunkt 737,11,,,408,CONNECTOR.AC.SCHUKO.SOCKET
738,Ladepunkt 738,22,,,409,CONNECTOR.AC.TYPE2.SOCKET
739,Ladepunkt 739,22,,,409,CONNECTOR.AC.SCHUKO.SOCKET
740,Ladepunkt 740,11,,,410,CONNECTOR.AC.TYPE2.SOCKET
741,Ladepunkt 741,11,,,410,CONNECTOR.AC.SCHUKO.SOCKET
742,Ladepunkt 742,11,,,411,CONNECTOR.AC.TYPE2.SOCKET
743,Ladepunkt 743,11,,,411,CONNECTOR.AC.SCHUKO.SOCKET
744,Ladepunkt 744,22,,,412,CONNECTOR.AC.TYPE2.SOCKET
745,Ladepunkt 745,22,,,412,CONNECTOR.AC.SCHUKO.SOCKET
746,Ladepunkt 746,22,,,413,CONNECTOR.AC.TYPE2.SOCKET
747,Ladepunkt 747,22,,,413,CONNECTOR.AC.SCHUKO.SOCKET
13989,An der Kleinbahn 4,-,,,415,CONNECTOR.AC.TYPE2.SOCKET
751,Ladepunkt 751,22,,,416,
752,Ladepunkt 752,22,,,417,
753,Ladepunkt 753,22,,,418,
754,Ladepunkt 754,22,,,419,
13990,Pelzerstr. 40,-,,,420,CONNECTOR.AC.TYPE2.SOCKET
13991,Hans-Bredow-Str. 19,-,,,430,CONNECTOR.AC.TYPE2.SOCKET
13992,Bahnhofsplatz 14-15,-,,,432,CONNECTOR.AC.TYPE2.SOCKET
13993,Lübecker Str. 47,-,,,437,CONNECTOR.AC.TYPE2.SOCKET
13994,Rudloffstr. 148,-,,,440,CONNECTOR.AC.TYPE2.SOCKET
18593,"Hoher Weg 2, 48683 Ahaus",22 kW,57.70675000,3.61853000,443,CONNECTOR.AC.TYPE2.SOCKET
18599,"Frauenstraße 999, 48683 Ahaus",22,,,444,CONNECTOR.AC.TYPE2.SOCKET
807,Ladepunkt 807,22,,,446,
808,Ladepunkt 808,22,,,446,
809,Ladepunkt 809,22,,,447,
810,Ladepunkt 810,22,,,447,
815,Ladepunkt 815,50,,,450,
816,Ladepunkt 816,50,,,450,
134912,Stromtanke 21*2,22,51.22790300,6.78533800,452,CONNECTOR.AC.TYPE2.SOCKET
134913,Stromtanke 21*1,22,51.22790300,6.78533800,452,CONNECTOR.AC.TYPE2.SOCKET
827,Ladepunkt 827,22,,,453,CONNECTOR.AC.TYPE2.SOCKET
828,Ladepunkt 828,22,,,453,CONNECTOR.AC.TYPE2.SOCKET
829,Ladepunkt 829,22,,,453,CONNECTOR.AC.TYPE2.SOCKET
