station_id,point_id,power,public key,steckertyp,inbetriebnahme
13397,2,22.0,,AC Steckdose Typ 2,2019-02-20
13398,1,22.0,,,2019-05-20
13398,2,22.0,,AC Steckdose Typ 2,2019-05-20
13399,1,43.0,,,2019-02-13
13399,2,50.0,,"DC Kupplung Combo, DC CHAdeMO",2019-02-13
13399,1,175.0,,,2019-02-13
13399,1,43.0,,,2020-10-21
13399,2,50.0,,"DC Kupplung Combo, DC CHAdeMO",2020-10-21
13400,1,22.0,,,2019-02-08
13400,2,22.0,,AC Steckdose Typ 2,2019-02-08
13400,3,22.0,,AC Steckdose Typ 2,2019-02-08
13400,4,22.0,,AC Steckdose Typ 2,2019-02-08
13401,1,22.0,,,2019-04-11
13401,2,22.0,,AC Steckdose Typ 2,2019-04-11
13402,1,22.0,,,2019-04-11
13402,2,22.0,,AC Steckdose Typ 2,2019-04-11
13403,1,43.0,,,2018-04-17
13403,2,50.0,,"DC Kupplung Combo, DC CHAdeMO",2018-04-17
13404,1,43.0,,,2018-04-17
13404,2,50.0,,"DC Kupplung Combo, DC CHAdeMO",2018-04-17
13405,1,300.0,,,2021-01-01
13405,2,300.0,,"DC Kupplung Combo, DC CHAdeMO",2021-01-01
13406,1,300.0,,,2021-04-07
13406,2,300.0,,"DC Kupplung Combo, DC CHAdeMO",2021-04-07
13407,1,22.0,,,2016-08-15
13407,2,22.0,,AC Steckdose Typ 2,2016-08-15
13408,1,22.0,,,2013-09-18
13408,2,22.0,,AC Steckdose Typ 2,2013-09-18
13409,1,22.0,,,2020-12-01
13409,2,22.0,,AC Steckdose Typ 2,2020-12-01
13410,1,22.0,,,2020-12-01
13410,2,22.0,,AC Steckdose Typ 2,2020-12-01
13411,1,22.0,,,2020-12-01
13411,2,22.0,,AC Steckdose Typ 2,2020-12-01
13412,1,22.0,,,2020-12-01
13412,2,22.0,,AC Steckdose Typ 2,2020-12-01
13413,1,22.0,,,2020-12-01
13413,2,22.0,,AC Steckdose Typ 2,2020-12-01
13414,1,22.0,,,2020-12-01
13414,2,22.0,,AC Steckdose Typ 2,2020-12-01
13415,1,22.0,,,2017-01-02
13415,2,22.0,,AC Steckdose Typ 2,2017-01-02
13416,1,22.0,,,2021-04-08
13416,2,22.0,,AC Steckdose Typ 2,2021-04-08
13416,3,22.0,,AC Steckdose Typ 2,2021-04-08
13416,4,22.0,,AC Steckdose Typ 2,2021-04-08
13416,1,22.0,,,2021-04-08
13416,2,22.0,,AC Steckdose Typ 2,2021-04-08
13416,3,22.0,,AC Steckdose Typ 2,2021-04-08
13416,4,22.0,,AC Steckdose Typ 2,2021-04-08
13416,1,22.0,,,2021-04-08
13416,2,22.0,,AC Steckdose Typ 2,2021-04-08
13417,1,22.0,,,2021-01-19
13417,2,11.0,,AC Steckdose Typ 2,2021-01-19
13418,1,22.0,,,2018-02-14
13418,2,22.0,,AC Steckdose Typ 2,2018-02-14
13419,1,43.0,,,2020-12-22
13419,2,50.0,,"DC Kupplung Combo, DC CHAdeMO",2020-12-22
13420,1,22.0,,,2018-11-27
13420,2,22.0,,AC Steckdose Typ 2,2018-11-27
13421,1,22.0,,,2020-10-26
13421,2,50.0,,DC Kupplung Combo,2020-10-26
13421,3,50.0,,DC Kupplung Combo,2020-10-26
13422,1,22.0,,,2020-03-02
13422,2,22.0,,AC Steckdose Typ 2,2020-03-02
13423,1,22.0,,,2014-04-30
13423,2,22.0,,AC Steckdose Typ 2,2014-04-30
13424,1,22.0,,,2014-03-11
13424,2,22.0,,AC Steckdose Typ 2,2014-03-11
13425,1,22.0,,,2019-08-07
13425,2,22.0,,AC Steckdose Typ 2,2019-08-07
13426,1,22.0,,,2019-08-07
13426,2,22.0,,AC Steckdose Typ 2,2019-08-07
13427,1,22.0,,,2014-03-07
13427,2,22.0,,AC Steckdose Typ 2,2014-03-07
13428,1,22.0,,,2016-06-09
13428,2,22.0,,AC Steckdose Typ 2,2016-06-09
13429,1,22.0,,,2021-10-19
13429,2,22.0,,DC Kupplung Combo,2021-10-19
13430,1,22.0,,,2018-10-22
13430,2,22.0,,AC Steckdose Typ 2,2018-10-22
13431,1,22.0,,,2013-10-16
13431,2,22.0,,AC Steckdose Typ 2,2013-10-16
13432,1,22.0,,,2020-03-03
13432,2,22.0,,AC Steckdose Typ 2,2020-03-03
13433,1,22.0,,,2018-04-12
13433,2,22.0,,AC Steckdose Typ 2,2018-04-12
13434,1,22.0,,,2017-07-16
13434,2,22.0,,AC Steckdose Typ 2,2017-07-16
13435,1,22.0,,,2019-01-16
13435,2,22.0,,AC Steckdose Typ 2,2019-01-16
13436,1,22.0,,,2018-05-07
13436,2,22.0,,AC Steckdose Typ 2,2018-05-07
13437,1,22.0,,,2018-09-04
13437,2,22.0,,AC Steckdose Typ 2,2018-09-04
13438,1,22.0,,,2011-12-05
13438,2,11.0,,AC CEE 5 polig,2011-12-05
13439,1,50.0,,,2018-11-12
13439,2,22.0,,AC Steckdose Typ 2,2018-11-12
13440,1,22.0,,,2019-01-01
13440,2,22.0,,AC Steckdose Typ 2,2019-01-01
13441,1,22.0,,,2019-07-01
13441,2,22.0,,AC Steckdose Typ 2,2019-07-01
13442,1,22.0,,,2019-08-01
13442,2,22.0,,AC Steckdose Typ 2,2019-08-01
13443,1,22.0,,,2019-07-01
13443,2,22.0,,AC Steckdose Typ 2,2019-07-01
13444,1,50.0,,,2018-11-12
13444,2,50.0,,"DC Kupplung Combo, DC CHAdeMO",2018-11-12
13444,3,22.0,,AC Steckdose Typ 2,2018-11-12
13445,1,22.0,,,2018-08-31
13445,2,22.0,,AC Steckdose Typ 2,2018-08-31
13446,1,50.0,,,2018-06-28
13446,2,43.0,,AC Kupplung Typ 2,2018-06-28
13447,1,22.0,,,2011-11-29
13447,2,11.0,,AC CEE 5 polig,2011-11-29
13448,1,22.0,b27dd0fb426836395c7e56bb5661af00131283c342f9907d54828f743fae1d797875dbeb03ef8b731af3604c2a4f25f6,,2021-03-19
13448,2,22.0,81e3f19112fb55f40cfb36471db9a44a9e49869a26d402984b45182992ddfdb6f7adbef644d1395e0735eabbf638bd2e,AC Steckdose Typ 2,2021-03-19
13449,1,22.0,,,2020-09-25
13449,2,22.0,,AC Steckdose Typ 2,2020-09-25
13450,1,22.0,,,2021-03-23
13450,2,11.0,,AC Steckdose Typ 2,2021-03-23
13451,1,22.0,,,2019-05-29
13451,2,22.0,,AC Steckdose Typ 2,2019-05-29
13452,1,22.0,,,2021-03-23
13452,2,11.0,,AC Steckdose Typ 2,2021-03-23
13453,1,22.0,,,2020-04-17
13453,2,50.0,,DC Kupplung Combo,2020-04-17
13453,3,50.0,,"AC Kupplung Typ 2, DC CHAdeMO",2020-04-17
13454,1,22.0,,,2019-05-01
13454,2,22.0,,AC Steckdose Typ 2,2019-05-01
13455,1,22.0,,,2019-07-01
13455,2,22.0,,AC Steckdose Typ 2,2019-07-01
13456,1,22.0,,,2019-07-01
13456,2,22.0,,AC Steckdose Typ 2,2019-07-01
13457,1,22.0,,,2019-05-01
13457,2,22.0,,AC Steckdose Typ 2,2019-05-01
13458,1,22.0,,,2019-11-04
13458,2,22.0,,AC Steckdose Typ 2,2019-11-04
13459,1,22.0,,,2017-04-22
13459,2,22.0,,AC Steckdose Typ 2,2017-04-22
13460,1,22.0,,,2018-09-04
13460,2,22.0,,AC Steckdose Typ 2,2018-09-04
13461,1,22.0,,,2011-12-16
13461,2,11.0,,AC CEE 5 polig,2011-12-16
13462,1,22.0,,,2019-01-01
13462,2,22.0,,AC Steckdose Typ 2,2019-01-01
13463,1,50.0,,,2020-06-15
13463,2,11.0,,AC Steckdose Typ 2,2020-06-15
13464,1,22.0,,,2019-07-01
13464,2,22.0,,AC Steckdose Typ 2,2019-07-01
13465,1,22.0,,,2018-08-31
13465,2,22.0,,AC Steckdose Typ 2,2018-08-31
13466,1,50.0,,,2021-10-22
13466,2,22.0,,AC Steckdose Typ 2,2021-10-22
13467,1,50.0,,,2021-10-22
13467,2,22.0,,AC Steckdose Typ 2,2021-10-22
13468,1,50.0,,,2021-10-22
13468,2,22.0,,AC Steckdose Typ 2,2021-10-22
13469,1,22.0,b507 10C6 0663 98C0 E89E EF82 A459 ddE7 6b71 1dAC b29d 808d 1600 d974 EE90 F466 3d39 16E2 5298 2131 9C77 FE9F F1bd A378,,2021-03-10
13469,2,22.0,E1bC 2400 b93C AC46 7582 5d92 3AF1 A054 56C1 4547 80FE FE61 9910 C074 204b 9662 52b5 14FC 6F95 0F4B E1AE C539 600b 0905,"AC Steckdose Typ 2, AC Schuko",2021-03-10
13470,1,22.0,,,2017-03-01
13471,1,22.0,4A73 2A8F 617A EA0A 2767 EFbe 9FE3 b4bd 9bbd 6582 8C97 F22F dC67 06Cd 8E81 4584 E4b9 0742 b17A E12F AC17 8518 850b 2e8b,,2021-10-07
13471,2,22.0,EA95 3Ab0 8bAC b6C7 9153 32dA 5b27 C38E CCd7 b3d6 dE5F bCF6 0AE4 EF66 6EC7 C83A 4CC9 35CC 4EEd d688 884A 9777 159C 5235,AC Steckdose Typ 2,2021-10-07
13472,1,22.0,ACF1 E84C 2652 23d2 178b 9E2A F818 0CE0 86C7 529C 5b5d E5F8 2E35 F7F0 69dF 193F 6C95 4112 d7E8 4364 9C2b 2725 b240 6A63,,2021-03-24
13472,2,22.0,171C dA4F 8b47 F0d8 d258 62A7 b3bC A1AE 9608 A411 5Abd 5784 63Ab E0E5 7EE9 96F7 A5AA 9C12 26d3 53A9 2356 C1Ad F40A dd6b,"AC Steckdose Typ 2, AC Schuko",2021-03-24
13473,1,22.0,,,2019-12-11
13473,2,22.0,,AC Steckdose Typ 2,2019-12-11
13473,1,22.0,,,2019-12-11
13473,2,22.0,,AC Steckdose Typ 2,2019-12-11
13473,1,22.0,,,2019-12-11
13473,2,22.0,,AC Steckdose Typ 2,2019-12-11
13473,1,22.0,,,2019-12-11
13473,2,22.0,,AC Steckdose Typ 2,2019-12-11
13474,1,43.0,,,2017-08-15
13474,2,50.0,,"DC Kupplung Combo, DC CHAdeMO",2017-08-15
13475,1,43.0,,,2017-08-15
13475,2,50.0,,"DC Kupplung Combo, DC CHAdeMO",2017-08-15
13476,1,22.0,,,2018-04-04
13476,2,22.0,,AC Steckdose Typ 2,2018-04-04
13476,3,22.0,,AC Steckdose Typ 2,2018-04-04
13476,4,22.0,,AC Steckdose Typ 2,2018-04-04
13477,1,22.0,,,2015-05-06
13477,2,50.0,,"DC Kupplung Combo, DC CHAdeMO",2015-05-06
13478,1,11.0,,,2016-11-16
13478,2,22.0,,AC Steckdose Typ 2,2016-11-16
13479,1,3.7,,,2014-11-24
13479,2,11.0,,AC Kupplung Typ 2,2014-11-24
13479,1,3.7,,,2014-11-24
13479,2,11.0,,AC Kupplung Typ 2,2014-11-24
13480,1,3.7,,,2014-11-24
13480,2,11.0,,AC Kupplung Typ 2,2014-11-24
13480,1,3.7,,,2014-11-24
13480,2,11.0,,AC Kupplung Typ 2,2014-11-24
13480,1,3.7,,,2014-11-24
13480,2,11.0,,AC Kupplung Typ 2,2014-11-24
13481,1,3.7,,,2015-10-21
13481,2,11.0,,AC Kupplung Typ 2,2015-10-21
13481,1,3.7,,,2015-10-21
13481,2,11.0,,AC Kupplung Typ 2,2015-10-21
13482,1,3.7,,,2015-10-21
13482,2,11.0,,AC Kupplung Typ 2,2015-10-21
13482,1,3.7,,,2015-10-21
13482,2,11.0,,AC Kupplung Typ 2,2015-10-21
13483,1,22.0,,,2019-06-12
13483,2,22.0,,AC Steckdose Typ 2,2019-06-12
13484,1,22.0,,,2019-06-24
13484,2,22.0,,AC Steckdose Typ 2,2019-06-24
13485,1,22.0,,,2019-10-07
13485,2,22.0,,AC Steckdose Typ 2,2019-10-07
13486,1,22.0,,,2020-01-23
13486,2,22.0,,AC Steckdose Typ 2,2020-01-23
13487,1,22.0,,,2020-04-15
13488,1,22.0,,,2020-04-22
13488,2,22.0,,AC Steckdose Typ 2,2020-04-22
13489,1,22.0,,,2021-04-15
13489,2,22.0,,AC Steckdose Typ 2,2021-04-15
13490,1,22.0,,,2021-06-02
13490,2,22.0,,AC Steckdose Typ 2,2021-06-02
13491,1,22.0,,,2021-03-03
13491,2,22.0,,AC Steckdose Typ 2,2021-03-03
13491,1,22.0,,,2021-03-03
13491,2,22.0,,AC Steckdose Typ 2,2021-03-03
13492,1,22.0,,,2021-06-02
